#日時(UT)	RA(h:m:s)	Dec(d:m:s)	X_initial	Y_initial	X_centroid	Y_centroid	フィルター	等級(mag)	等級誤差(mag_err)
2019-11-28T05:07:54.897	01:08:32.78	+2:34:19.5	1400.052	1404.603	1399.707	1404.768	g	21.043	0.007
2019-11-28T09:19:09.945	01:08:32.78	+2:34:19.5	1400.052	1404.603	1399.790	1404.772	g	21.061	0.011
2019-11-28T10:35:52.292	01:08:32.78	+2:34:19.5	1400.052	1404.603	1399.883	1404.760	g	18.772	0.001
2015-10-14T07:58:46.541	01:08:32.78	+2:34:19.5	1400.052	1404.603	1400.147	1404.625	g	21.066	0.008
2019-10-27T08:56:16.419	01:08:32.78	+2:34:19.5	1400.052	1404.603	1399.605	1404.777	i2	18.770	0.002
2019-10-27T12:29:17.396	01:08:32.78	+2:34:19.5	1400.052	1404.603	1399.804	1404.712	i2	17.892	0.001
2019-11-02T08:08:29.319	01:08:32.78	+2:34:19.5	1400.052	1404.603	1400.114	1404.739	i2	18.350	0.001
2015-10-10T08:27:31.719	01:08:32.78	+2:34:19.5	1400.052	1404.603	1400.132	1404.647	r	19.699	0.003
2017-08-16T11:50:21.153	01:08:32.78	+2:34:19.5	1400.052	1404.603	1399.917	1404.684	y	16.856	0.001
2017-08-29T12:59:18.409	01:08:32.78	+2:34:19.5	1400.052	1404.603	1399.936	1404.715	y	16.865	0.001
2017-09-13T10:18:04.098	01:08:32.78	+2:34:19.5	1400.052	1404.603	1399.946	1404.686	y	16.865	0.001
2018-11-15T10:21:44.596	01:08:32.78	+2:34:19.5	1400.052	1404.603	1399.795	1404.733	z	17.199	0.002
2018-12-03T09:35:38.982	01:08:32.78	+2:34:19.5	1400.052	1404.603	1399.802	1404.784	z	17.191	0.001
2019-01-09T07:08:19.452	01:08:32.78	+2:34:19.5	1400.052	1404.603	1399.800	1404.803	z	17.192	0.001
